audio,transcript
bc422c0636212d58,التعليم هو أساس التقدم وتطور أي مجتمع حضاري
f6a48b68185a47b7,إيه اللي حصل في المحاضرة
5d351055d7b91a5d,تحب تتفرج على الفيلم ده
01cad28b5e9348ff,شفت القمر النهاردة
aa496863d7f05723,أيوا يا صاحبي الحكومة المثالية بتبني الأمان
93409313fa70b862,الشنطة تقيلة
2a764cda43065820,ماما عملت لنا أكل لذيذ جدا
eb7568e5aaa73191,الكوب مليان
71810adf6f12ac84,ممكن تجيبلي منديل من جوة
a279cbcf27ceb826,لازم أروح البنك النهاردة علشان أخلص شوية أوراق مهمة
570a5a898f2a0cce,البنت ذكية
f7bec450d6b342d9,ماما عملت لنا حلويات لذيذة جدا
5bf7fc95d5c368d7,أنا مشغول جدا اليومين دول
6cf3300d8044f30f,التعاون والتضامن بين الأفراد يقوي أسس النجاح والاستقرار
078c59e646ae7f3c,الصداقة الحقيقية بتبقى نعمة كبيرة في حياة أي إنسان
dd30a0eec63bf7dc,مبسوط أوي إني شوفتك النهارده
c5f6e6b672ca4e73,السياسة في بلدنا دايما موضوع جدل ونقاشات كتيرة
8092468295eb901e,ازاي كده نسيت المحفظة
9690740f46840d7f,فين ريموت التليفزيون مش لاقيه
03dea7efc9747b3b,القمر بيلمع
d8ab0317af58a791,شايف الشارع ده كنا بنلعب فيه واحنا صغيرين دلوقتي كله بقى محلات
a7413956af16d0d6,البنت رشيقة
4640b200add68040,التمرين كان متعب
d755f2fb77e9efec,الجو حر جدا النهارده
7b2695003cd1893d,هو الماتش الساعة كام النهاردة
babd46484dbd4ec4,رئيس الجمهورية لازم يكون خدام للشعب ويشتغل على تحسين حياتهم
738978ad21fdcd2f,الثورة اليمنية كانت رمز للصمود والإصرار على التغيير
451e46f5c1f2e05a,نروح المصيف السنه دي
a6783ddb7260c459,عنجد الحكم بالقانون ده مش مسألة صغيرة
ec0621666ec91714,بتفضل تروح النادي بعد الشغل
9db0a9fc06e70338,ليه ما جيتش الإفطار امبارح
b7878bd15d80704b,بنتك كبرت أوي بقيت شاطرة في المدرسة وبتجيب درجات عالية
4f8d4734a7642baa,البنت بتذاكر
a54d99b8d65e3e32,الموز ناضج
659d56d0cc26c516,الإخوان المسلمين كانوا عايزين يحكموا بطريقتهم بس الشعب كان عنده رأي تاني
81b346a261d79955,بنتي مش بتاكل كويس اليومين دول قلقانة عليها جدا
78e4b8280a15e406,كتابك فين مش شايفه في المكتبة
934933b00159f2f3,الجو جميل النهاردة
f95ad2909ff65c61,الكوب ساخن
87386bad6b40df63,الحفلة النهاردة كانت رائعة
a161d4479e97f335,لما الناس خرجت في 25 يناير كانوا بيدوروا على حقوقهم المسلوبة
89a348f6d16964c9,شفت الفيديو اللي بعتته لك على الواتساب مضحك جدا
996c26508465639b,الأكل ده طعمه حلو أوي
afe3883b8c0a9fbf,الجو بارد جدا النهاردة لازم نلبس ملابس دافئة
928dbba0f733e84a,بعد العشاء بنحب نجتمع كعائلة ونتفرج على التلفزيون
af129107ece368c6,الإخوان المسلمين كانوا بيدوروا على السلطة لكن الشعب كان عنده رأي تاني
fd54ef2268520b42,الساعة بقت تسعة لسه مش ناوي تخلص شغلك
01b4880e72b294aa,الجيران عندهم حفلة النهاردة صوت الموسيقى عالي جدا
efb3e1c6b8246c55,الولد ده شاطر في العلوم
441c331d05612769,العنب حلو
8122846742d86fa7,الجو النهارده غائم وجميل
af91d057a2d78fac,النجم بيلمع
eec5feae000411f2,الزرع محتاج مية
26aff853ffeae099,الراجل ده بصراحه محترم أوي
7cf416cd28a15871,البطيخة دي طعمها سكر لازم نشتري منها تاني
0d771ad73d30bbee,العيش طعمه حلو
e1aafcb69454be3d,الجو النهاردة جميل نفكر نخرج وناكل برا في مطعم
1f8f32ff7adb52b1,سيبوا كل بلد تدير شغلها بطريقتها المهم إن الشعب يبقى راضي
026c1d4e12318a22,تحب نخرج نتعشى بره
9d1769040b1ad5d3,عايز أكل حاجة خفيفة دلوقتي
dece0efa2300a2a1,خلينا نخطط لإجازة الأسبوع الجاي
4e1bdb3aa464697a,العصفور بيغني
ee8cd6c150b9e7c4,عايز أكل حاجة ساخنة
4afdaf816c857c4b,لازم نخلص المشروع قبل نهاية الشهر
29bcd2efcf4e0e6b,البنت فرحانة
d8e539a10470422b,كده كفاية يا ولاد بلاش نزودها
bbb1266a1fd9632b,بحب أروح السوق يوم الجمعة بيكون فيه حاجات جديدة ومختلفة
8f82facb98394abe,الفستان ده جميل
458f6143012b6d59,متنساش تحط المفتاح في جيبك
a56fde65e7667c16,بتذاكر ولا بتلعب يا ولد
266a841819c36acb,فين مفتاح العربية
fad99c91bb6ffc77,الشمس طالعة النهاردة
e0ec627c3d7adc89,القمر مضيء
d78c1869d01ac806,الموز أصفر
ac94cfc28cac8a9e,بجد الديمقراطية بتضمن الحرية لكل واحد فينا
c5dd297f25b01641,بتذاكر ولا بتلعب يا بنت
c4a67f018bd14d66,لو الدول العربية اتحدت ممكن نواجه التحديات الكبيرة مع بعض
13e3a9e34dea9b0b,أه يا جدعان التنمية المستدامة هي اللي بتبني المستقبل
c4d0cd8e724d81c5,الجو حلو النهاردة مش كده
9ffedf5d568de982,النهاردة يوم الجمعة هنعمل إيه
5aee8ffd9cea8b24,لو جمعنا كل الأراضي دي تحت راية واحدة ممكن نحقق حاجات عظيمة
6b284b00b5363474,الحائط ده محتاج يتدهن
f2fb22e690759c69,ليه مش بنشوفك كتير الأيام دي
09e9614269a5cefc,الفن ده حاجة بتخلي الناس تفكر وتعيش تجارب مختلفة
3af5ee996d592b78,الإخوان المسلمين بيقولوا إنهم بيخدموا الدين بس الحقيقة إنهم بيدوروا على السلطة
c55af1e78302eb8d,القمر منير
93da0dd447a1eaca,الزرع كثيف
f9762bf376f180d2,الزرع متفتح
6c275611cd947f89,بكره عندنا امتحان مهم لازم نذاكر كويس
135b8f07a7037596,الماء بارد
222ee85d9730f285,رئيس الجمهورية لازم يسمع صوت الشعب عشان البلد تتقدم
989f4d02219e757a,النهر جاري
43d6d38a2426d489,ازاي كده نسيت المفتاح
55ad4c2e145055f0,كنت بفكر أزورك النهارده
0a3889f231e7c560,البنت متفوقة
f9083fae12574e0f,ليه متضايق كده يا صديقي
710f75a397ba6dbe,الجو حر جدا النهاردة مش عارفين نفتح الشباك ولا نستخدم المروحة
d86a8758906d09f8,لما الناس خرجت في 25 يناير كانوا عايزين يغيروا واقعهم المؤلم
29e4e1f4c8bd1652,عندنا ضيوف في العشاء
b30683426fbc121d,الشاي ده معمول بحرفية
ccf7ae3d7d4831b6,الجو بارد النهاردة هات لي الجاكت من الدولاب عشان ألبسه
66804db2bc96fc44,لما كنا صغيرين كنا بنروح الحديقة ونلعب هناك كل يوم
01183af6b9c5eadd,العصفور مغرد
f9a69f5158651645,المسؤولية الاجتماعية لكل فرد هي ما يبني به المجتمعات القوية
ec3af4fb356bb535,تعالي نروح نتمشى على الكورنيش
cb531049f72aadff,هتروح السوق ولا عاوز حاجة
d531417c13eac219,البوتجاز مش شغال نعمل إيه
5b5ff56ec67dd3f7,محتاجه أشتري حاجات للمطبخ
f7c480e16fcaf6a0,الولاد عاوزين يروحوا الملاهي
f6a71ba3c23c8f0d,يا عم سيب كل دولة على حالها الجمهورية تبقى جمهورية والمملكة تبقى مملكة
9d1c17da68f62529,ثورة 25 يناير علمتنا إن الشعب لما يتحرك مفيش حاجة بتوقفه
4eafc2303d1bba8f,بحب أتفرج على الأفلام القديمة
6610fc483db19e2b,عايز أروح المكتبة مع الأولاد
80bec3991ae3e1ce,بعد العشاء بنحب نقعد مع بعض ونتفرج على التلفزيون
9430758fd3f3dc1e,بنتي اتخرجت من الجامعه السنه دي
fc8864946d407be8,لازم نبدأ نذاكر من بدري
e4683cfe48b5f14f,الفطار ده كان جميل شكرا ليك
dfaba6b5d65a49ea,الجو برد أوي في الليل
24257f57a9bf45fa,الشارع واسع
89f17898f5544d71,الفاكهة دي طازة جبتها من السوق
d128f58d2b9106e0,السوبر ماركت النهاردة كان زحمة جدا الناس كلها نازلة تشتري حاجات رمضان
a13b78c42c622b9b,بتجيبي الكلام ده منين يا ستي
3d2e957682b46194,العصافير بتغني
4170ca0da4cba03c,بحب أروح السوق كل أسبوع بيكون فيه حاجات جديدة
98bf214f1b32b187,محتاج تنزل تشتري حاجات من السوبر ماركت
fc2e4be736a9aa22,ثورة اليمن كانت تغيير كبير في الشرق الأوسط ولسه بنشوف آثارها
03cc2bddcefd8a1a,الحديقة خضراء
00288e6b5e94c2f5,هتكون فين النهاردة عندي شوية مشاوير لازم أخلصها
808829b035b35a8f,الشوربة ساخنة
131c48610d687de4,العنب طعمه حلو
63205ba0e8cad038,الولد ذكي
6e81acf4327ed0c6,محتاج أروح السوبرماركت بكرة
20856d487ea0b80f,الجو النهارده مغيم وجميل
90a94d184cebdbc7,يا معلم التسامح الديني ده بيخلينا نعيش براحتنا
7ac73205d1f20e10,كان يوم طويل في الشغل بس الحمد لله خلصنا كل المهام المطلوبة
48b663971661f6bf,العصير طعمه حلو
dcb209df01664f9e,رئيس الجمهورية لازم يكون خدام للشعب ويفهم احتياجاته
76ebfb1fe7cf0466,الأسرة هي الملاذ الآمن والدافئ في زمن الصعاب والتحديات
face9154a05abc67,يا برنس الابتكار في التعليم بيفتح باب الأمل للجيل الجديد
06ef9e2fb488e5e8,التغيرات الديمغرافية بتأثر في السياسات الاجتماعية والاقتصادية
516b223922bb2bff,الشارع ده دايما زحمة لازم نلاقي طريق بديل لما نخرج
ca310da74f73948f,القراءة بتفتح آفاق جديدة للفهم والتفكير والتعلم المستمر
d3e84503c9374a03,بعد الشغل بحب أروح الكافيه وأشرب كوباية قهوة
406eeb348c60d0b6,لما الناس خرجت في 25 يناير كانوا بيدوروا على حقوقهم وكرامتهم وحياة أفضل لأولادهم
07ed81b5e9dd0051,الكتاب ممتع
b41e52f39d708b57,الراجل ده دايما مبتسم رغم كل الظروف الصعبة اللي بيعدي بيها
016c4d6fec83e3ac,الحذاء جديد
d8cd4b6792260d2e,التلفون بيرن
6eb0e5231015084d,تحب نخرج نتغدى بره
e3d7e861effac8f8,البنت رقيقة
3d191e78cd148114,جبتلك هدية صغيرة من السفر يارب تعجبك
d278c9602342992d,تحب نخرج نفطر بره
6113abd0f5161456,بنتي بقت شاطرة في الرسم لازم أشجعها على تنمية موهبتها
8641e094cf39c574,الثورة علمت ولادنا معنى الحرية والكرامة وإن مفيش حاجة بتيجي بالساهل
3cf1944ad9179dfb,كل بلد ليها طريقة في الحكم المهم إن الشعب يكون راضي وسعيد
955b58e26c7fc1d1,الطعام شهي
f6ab4068850dae8e,ثورة اليمن كانت شرارة الحرية اللي نورت الشرق الأوسط
5571a0139ffea7e0,ليه مش بتاكل الأكل مش عاجبك
92ffa9c8eb97d364,الجو النهارده مشمس وجميل
2abb8e847d04877f,نروح البحر السنه دي
58f66ce49aa4dd48,الغداء النهاردة كان جميل تسلم إيدك
c8b8bc264b2fef1c,الشمس ساطعة
3cd011bf3dd22cfb,بتشربي عصير ولا شاي
9b4982ff34a8cdc4,ليه ما جيتش الحفلة امبارح
a38aca711d7caea5,شفت الفيلم الجديد في السينما القصة كانت مشوقة جدا
2c309e677bcc5b3b,الجو النهارده مثالي للنزهة
3bf9eb78a4f83f0d,الأحلام بتبقى دافع قوي للناس لتحقيق أهدافهم وطموحاتهم
64029816ae83842c,محتاج أشتري حاجات من البقالة
fd50c5a13f16a4a4,ازاي الولاد في المدرسة
0d625f219aa23da1,كنت بفكر أشتري جهاز رياضي جديد عشان أتمرن في البيت
67d9fb3b2f947599,هتجيب ولادك معاك لما تيجي
1153507c9e95bfd0,الكيك ده طعمه رائع عاوز الوصفة
4fdb1dc3eed0781c,الصبر والاستمرارية في المثابرة هما مفتاح النجاح في الحياة
258bf21c855ec4be,القميص ده محتاج يتكوى
60af74c2a2294e45,الباص ده هيودينا فين
fb543753eab1d657,سيبوا كل بلد تحكم بطريقتها المهم إن الشعب يبقى راضي
2f2e79b0c8cb4aa9,بنتي بتشتكي من البرد لازم ناخدها للطبيب بكره
64a04ab5fe9f2094,الطرقة دي محتاجة تتنظف كويس
8360c9177131891a,المدرسة اللي جنب بيتنا ممتازة
d5304f44d40c4981,كنت بفكر فيك النهاردة ليه ما بتزورناش بقالك فترة
ea00a4c7971a1dd3,الشوربة دي سخنة خليني أجيبلك ملعقة
a2a8856ab7456c98,بعد الغداء بحب أقرأ الجريدة وأشرب شاي بالنعناع
7be1cf66ecd425f5,نفسي أروح اسكندرية وأقعد على البحر
691718b988e1bb73,الجو معتدل النهاردة
987ccd78c6219285,النهارده كان يوم مليان
b2dd166042c2f269,القهوة دي مظبوطه زي ما بحبها بالظبط
03c2a5d624a3e87b,أختي الصغيرة بتحب تلعب بالألعاب التعليمية بتساعدها على التفكير
66c2912d95d65f10,الساعة كام دلوقتي
943765473a0144ee,الرياح جمدة أوي النهاردة
978bc1d59d3bfc2c,نروح الجبل السنه دي
d985fe31e8ed26d4,الشارع ده زحمة على طول
a7d2825205f9f7d5,الرياح باردة
137ae863967b539a,بتسمع الراديو الجديد
a3b68400cbc5d32e,المجتمعات المتنوعة ثقافيا ودينيا بتغني حياة الإنسان
9b4ffbe262377e59,رئيس الجمهورية لازم يكون خدام للشعب ويشتغل على تحسين حياتهم ويفهم احتياجاتهم
46a62c930751ecde,الثورة بتاعت 25 يناير كانت بداية جديدة لمصر ولسه بنتكلم عنها لحد النهارده
63e1f7f73927dbdd,بنتي بتلعب بالعرائس طول اليوم بتحب تلون وترسم كمان
b2d9f1c5ed6105d6,وجعي هو وجع الناس اللي كانوا عايشين في ضنك وعايزين حياة كريمة
5911c46ce460062d,الجو برد أوي النهارده يا ولاد
0ae927c74a50e20c,ازاي كده نسيت المفاتيح
03e144e9df2225c4,البنت دي شاطرة جدا في الرياضيات
0890b97fa835213e,يا رجالة الحوار البناء ده هو اللي بيفتح الأفق
644eb13f8f22ef9d,الكوب بارد
4dde45c3dfb25f79,الجو النهاردة مشمس فرصة كويسة ننشر الغسيل في البلكونة
68747d5845d7b085,بحب أشجع الصناعة المصرية لازم ندعم منتجات بلدنا
db1e65f53ef9243b,الولد مجتهد
be84db3a3b649a47,الكوب فارغ
163d314b749841d9,مالك متضايق كده يا عم الحج
0fb6b088d588f1a8,اشتريت جاكيت جديد للسفر
5960218639a0e19f,الشاي ده معمول بمهارة
6ce28a1d09b9abf9,عندنا بالمحل بضاعة جديدة وأسعارها كويسة جدا
bbf12fc76d523565,الزرع منعش
9469fde835c7ef4e,الكتاب مثير
4083aac44df98059,الثورة علمت ولادنا معنى الحرية وإن مفيش حاجة بتيجي بالساهل
001753c8049e5090,الزرع نضر
bb785748a475f153,كنت بفكر أروح أشتري عربية جديدة القديمة بقت تعبانة جدا
3182075910b1d594,عايز أروح أزور عمتي
b718bca141b275f8,الثورات بتجيب تغييرات كبيرة في حياة الناس وفي المجتمعات
668c180d1073489f,شوفتي الحاجات الجديدة في السوق
fa5f25b63b0bdd0d,هنروح نزور جدي في القرية بقالنا فترة ما شوفناهوش
0e4694fb2a154dee,القمر منور
bfbcc49e7684da7e,محتاجه أشتري حاجات للبيت
102813b81cc1db6e,إيه اللي مزعلك إن أنا بقول إن رئيس الجمهورية مش بيسمع للناس
8b32fbec62bc77c8,رئيس الجمهورية لازم يسمع للناس ويفهم احتياجاتهم
8902b9ba0f75afe0,الجو النهاردة حار لازم نشرب مية كتير عشان ما نعطش
a0620309ee6e4716,الحياة مش بس عن العمل والمال فيها أشياء أهم زي الصحة والعائلة
66da663dd1e94474,الكتاب ثقيل
d02e050941ce0116,لو عندك وقت فراغ النهاردة تعالى نروح نشوف فيلم في السينما
14cdc0cba4b70d06,القهوة طازة
95533ff3a36e33c6,كان يوم طويل في الشغل النهاردة
2245acee1ef0df42,نروح الجيم بعد الشغل
200cb1b482930840,الزرع طري
5dcd905b4fc11d7f,الفلوس دي كانت فين
6e2b2b7f83f292f7,كنت بفكر أشتري لابتوب جديد القديم بقى بطيء جدا ومش نافع
0dfa2ab2641943c5,هاتلي كوباية شاي بالنعناع لو سمحت
4d2b9c1af1b50816,البحر النهاردة هادي وجميل
ba6158992f6c618b,السماء غائمة
84179feeceb3c075,بعد الشغل بحب أروح الجيم عشان أحافظ على لياقتي البدنية
24f106f3fda2392f,انت فاكر لما كنا بنروح المدرسة سوا
1849f360c6b0d2f7,بقالك فترة مش بتزورنا تعالى نشوفك ونتعشى سوا
00334f44dc49bff1,الزهرة جميلة
3a7e3ec72c0ab24e,التكنولوجيا سهلت حياتنا بس في نفس الوقت عملتها أكتر تعقيدا
b29875444bf17094,الجو النهاردة حار جدا مش عارفين نفتح الشباك ولا نفتح التكييف
ff0084d953318ef2,اشتريت لعبة جديدة لابني
1efd31a0082fd0a4,رئيس الجمهورية لازم يكون خدام للشعب ويفهم احتياجاتهم ويشتغل على تحسين حياتهم
d41884eb08fd0fc8,إيه اللي مزعلك إن أنا بقول رأيي في رئيس الجمهورية
3dc81703ea554602,بحب أقعد في البلكونة بالليل وأتفرج على النجوم في السماء
1a0a181d09161428,أنا مشغول جدا الأسبوع ده
195239ae08aa7832,الشاي سخن
f6ea4993cfa35259,البحر ساحر
377afa8ef98ac02a,الأراضي دي لو اتحدت مع بعض ممكن نعمل قوة عظيمة تقدر تواجه العالم كله
12db86e454b497fd,ممكن تساعدني في حمل الشنطة دي
363a2c1da8da5d94,عايز أكل حاجة حلوة دلوقتي
8fd7851eac775bab,لما كنا صغيرين كنا بنلعب في الشارع لحد ما يجيلنا عياط من التعب
196e0e58c3f28482,البنت هادئة
1f006bcdf6ca6d1b,الحرية ليست مجرد كلمة هي حق من حقوق الإنسان الأساسية
27c82d9aa18a4fd6,البنت جميلة
548eb6f00fa67830,العقلانية والتفكير النقدي بيساعدوا في اتخاذ قرارات صائبة
51ed659f6aa2369f,شوفلي القميص اللي في الدولاب
e7e493c2687a9acb,التوازن بين العمل والحياة الشخصية ضروري للحفاظ على السعادة
e584efb828240209,بحب صوتك لما بتغني
471ff6074c1189a9,القمر مشرق
ee3271788cd13e5e,خلينا نروح نتفرج على الفيلم الجديد
e50e9821409f7995,الكوب نظيف
be3f690a350f1aa7,بكرة عندي ميعاد مع دكتور الأسنان لازم أروح بدري علشان ما أتأخرش عن الشغل
aee3e3e65c83085a,الزرع مزهر
45733ba11e3dcfc0,رئيس الجمهورية لازم يكون خدام للشعب مش سيد عليهم
ea642f185793f20e,مفيش حد في الحديقة دلوقتي
44cfa4a77fdf4bd9,ليه متضايق كده يا صاحبي
e867f6820699a7db,لازم أروح البريد بكرة
3341a8f8c1b2cb0c,الإخوان المسلمين كانوا فاكرين إنهم هيحكموا للأبد بس الشعب كان ليه رأي تاني
6f8c4ed83e6a86e4,شفت المباراة امبارح الأهلي لعبوا كويس لكن الزمالك كانوا أحسن بكتير
f3b78608e6e3f232,الأكل في المطعم ده لذيذ جدا
5b014454d1255438,احنا لازم نتجمع قريب يا جماعه
e9f36470f3c725b2,العصفور بيطير
e14a3f35cf388cd8,ممكن تساعدني في كتابة الرسالة دي
39f4f766c422a983,مين اللي كسر الكوباية دي
7de2f132d215968a,كان عندنا مشكلة في الكهرباء النهاردة النور قطع لفترة طويلة
4df62bf16230c7b7,الحكم بالقانون هو أساس لضمان العدالة والنمو الاقتصادي
074b18c798c47847,عايز أروح الحديقة مع الأولاد
9b8735a0b73a5a55,الباص اتأخر
13e4c01d69e26371,الفول ده محتاج ملح
bd71c8aa4a39e629,ليه متضايق كده يا حبيبي
e0a076c9528c79e9,اشتريت كتاب عن التاريخ المصري
5fdc3abbbfbc28c7,لازم نجهز الشنطة بكرة عشان نسافر للإسكندرية ونقضي يومين على البحر
d30924011e48a584,لازم ننظم يومنا كويس
921e5e3d83a65094,مين اللي كنس البيت
c2c8ae6c85262a0d,اشتريت كتاب عن الفنون
8fac1d9959980faa,الشباك محتاج يتنظف
847a5a2ab7c71d62,الولد بيلعب في الجنينة
095bdae959788f27,السوق كان مزدحم
1d1eebc910a22b06,الجو مشمس النهاردة فرصة كويسة ننشر الغسيل في الشمس
532cb26cf3d06e11,لازم نروح نزور الاصدقاء قريب
3aac0503139bbaa1,يا حبيبي السياسة دي بتجيب أخبار حادثة دايما
de94966e16e412bd,جبتلك هدية بسيطة يارب تعجبك
bd7bf694e723b5f4,لما الناس خرجت في 25 يناير كانوا بيدوروا على حقوقهم وكرامتهم
23e38d8de13dc259,الثورة علمت ولادنا إن الحرية لازم تتاخد مش تتمنح
b354590da8d23738,عايز أكل حاجة مالحة دلوقتي
817e3363cec68690,القميص مكوي
054da9c4da1b85ca,الكتاب ده مفيد
3eebbc27e7a2bc6d,المدرسة اللي جنب بيتنا كويسة
32215dbd0118c25b,الولد نشيط
402ed876615cd45b,التنمية المستدامة بتهدف لتحقيق توازن بين الاحتياجات الحالية والمستقبلية
d0f4abe170f4002b,فين المفاتيح
59fb4a2b9414d449,الولد شاطر
4392b9fb0d216445,شغلك ماشي كويس
0fcd12069f5ba6b4,إيه اللي حصل في الاجتماع
e6127a5bb7901384,محدش يقدر يوقفني عن اللي أنا عايزه
29663083a09c1466,شفت الفيلم الجديد اللي نزل في السينما
1f89fb32d1a20272,البحر صافي
e421585924006b6a,جبت لك هدية صغيرة من السفرة يارب تعجبك وتستفيد منها
0040984f0d677487,الأخلاق والقيم بتكون أساس لبناء مجتمع متماسك ومتقدم
ac7eee823c316711,بنتي بتحب تلعب بالألعاب التعليمية بتساعدها على التفكير
e7216a3e976e42ac,الحفلة كانت رائعة
a02175d3b82a6274,التفاؤل هو مفتاح النجاح والتغلب على التحديات في الحياة
5b287ea5f60a6a26,الولد ده شاطر في الحساب
c269bc4cb1452634,هاتلي كوباية مية لو سمحت
f89104619cfc225b,كل بلد ليها طريقة في الحكم المهم إن الشعب يكون راضي
955df7b5d3a0c273,الزهرة حمراء
cf3c953a778a21ac,ثورة اليمن كانت بداية جديدة لشعب كان بيبحث عن الحرية
84542a978df1717e,الجو بارد النهاردة لازم نلبس ملابس دافئة لما نخرج
c415aae61099a48d,اشتريت نظارة شمسية جديدة للسفر
7be00436003f2b23,الجو حر جدا في الصيف
8fe3e178cbe6af75,عايز أروح أزور جدي
f1222637bc863b31,الجو بارد هلبس الجاكيت
babd37f0e2443864,بحب أتفرج على المسرحيات القديمة
da2d8a3736bb67bf,النهارده كان يوم طويل جدا
127ba789453fc563,لسه صاحي من النوم
30b4a8438555c438,السوق مليان ناس
2337b126fbac20f9,هتروح معانا السوق بكرة هنشتري حاجات البيت ونتمشى شوية
