audio,transcript
adapt_sample_62_clean,هذه المساحه من ال من الأرض في العالم أه لو بقيت لو بجيت دوله واحده مش شرط دوله واحده يعني ممكن نبقى مجموعة دول بس بينا اتحاد
adapt_sample_63_clean,أه بالتليفون الله العظيم كان كده هو ساعات يطلع معاه قاله ده عايز يتغني اللحن ده تغنيه
adapt_sample_64_clean,لا و ينحرف عن كلامه و ينحرف عن وعوده وائل الإبراشي مكلمني في التليفون يا هشام تعالى هنطلع حلجه مع بعض فأنا قولت لوائل يا وائل معلش اعملي برومو مثلا
adapt_sample_65_clean,إنت لو شيلت بوندقه مش البوندقه مطرح ما يرجعوا فيك اللي مضروب منهم خصامكم هيموتوه
adapt_sample_66_clean,أكيد
adapt_sample_67_clean,يعني إم فيها سنه مدبره في حضننا إم
adapt_sample_68_clean,وأنا ماليش غيرك
adapt_sample_69_clean,إم والفكره حضرتك بتجيلي يعني من البلد من الشارع من على القهوه
adapt_sample_70_clean,عندينا حماده ناصر ده بتاع المصري ده اكتشفوه بالصدفه يا صديقي
adapt_sample_71_clean,ما دامش لف الكفن وجات الحكومه ووقفت واخد بال سيادتك و قعدوا و عملوا صوان ونصبوا
adapt_sample_72_clean,مهيش مني وأنا مقولتهاش غم وضحكت ضحكتها قبل النهارده
adapt_sample_73_clean,طب هي إنتي ممكن أصلا في بكره الشهر الجاي بتطلع كل يوم موضه
adapt_sample_74_clean,هو حضرتك مدام وكلاهم
adapt_sample_75_clean,لكن ده الاستراتيجي إم تمام قولي التكتيكي ده الطريقه ما كانش في بالك
adapt_sample_76_clean,يلا بينا
adapt_sample_77_clean,تمام
adapt_sample_78_clean,معلش يا وائل اعملي برومو جه وائل معملليش رلومو ليه عندي حاجه ليه عندي حاجه ما هو إنت معملتش حاجه
adapt_sample_79_clean,إحنا كانت الظروف البلد كلها يعني الرجعيه واضحه إم و الشعب واضح
adapt_sample_80_clean,ما الناس الكبيره بقى ما عرفهاش بقى ليه ما بيعرفوهاش ليه بقى دي
adapt_sample_81_clean,طب هما اللي شايلين المرار وإنت ليك هتاكل رز وهتاكل مكرونه وهتاكل لحمه
adapt_sample_82_clean,أيوه يا قابلت عمك في الزرع
adapt_sample_83_clean,أه وتعمل الجرف الأخير ده
adapt_sample_84_clean,الباي باي ده كمان
adapt_sample_85_clean,بالنسبالي لحم أخضر يعني ما يتاكلش إم يعني دي دي تبصلها من ورا إزاز فاترينه
adapt_sample_86_clean,أنا في العلاقات أيوه صحيح متواري جدا و خدام أحبائي
adapt_sample_87_clean,ألف مبروك يا بنتي
adapt_sample_88_clean,مش أنهال كانت هنا إم
adapt_sample_89_clean,تار أنا مش عشان آخد تار أصلا ليه أبويا أساسا أبويا وجالي خد البندقيه ها واقتل
adapt_sample_90_clean,أدي الواي فاي جايبينه من فودافون
adapt_sample_91_clean,إن أنا دلوقتي عايش حاله أنا بقول للناس أنا مش بقولك إنت أنا دلوقتي عايش حاله من الهيبه أمام هذا الرجل
adapt_sample_92_clean,أه يعني ممكن يعشيني وممكن يعني بتاع أو يعني هكذا
adapt_sample_93_clean,عديت القناه أه
adapt_sample_94_clean,أول ما يعدي الأربعين كده للشخص يلا حسن الختام
adapt_sample_95_clean,وحليمي
adapt_sample_96_clean,أه بس دي بقى أنا يعني جبت عين الشمس غضبت
adapt_sample_97_clean,وسايبهم هما ميتين من الجوع
adapt_sample_98_clean,يعني إحنا خمسه وانت واحد بس يا منصور
adapt_sample_99_clean,علي الطلاق اجعله الطيب
adapt_sample_100_clean,أنا لسه بشكر فيك للواد مصطفى
adapt_sample_101_clean,بعد إذنك
adapt_sample_102_clean,هو الجمهور لا أنتم هو الحكام لا أنتم هتسمعني جحافلكم هتسمعني دواوين المعاقل في حكومتكم هو الحكام لا أنتم ولا أخشى لكم أحد هو الإسلام ولا أنتم فكفوا عن تجارتكم وإلا ساروا مرتبكم وخلوا ما أنتم
adapt_sample_103_clean,أه حضرتك إنتي أول البرنامج جالي تظهر إنت والناس اللي معاك وأنا رحبت
adapt_sample_104_clean,النوبي بره عايزك
adapt_sample_105_clean,بس أنا
adapt_sample_106_clean,عقبال إخواتك يا بتي
adapt_sample_107_clean,بإن هي هي قصور من قاصر قصور الثقافه هي هي ما فيش لا تطلعوا حد ولا عملوا حد ولا جددوا ولا بنوا ولا عملوا مسابقات جديده باستثناء مسابقات الموظفين اللي هناك ولا عملوا أي حاجه أين وزارة الثقافه في مصر
adapt_sample_108_clean,أه يعني أغلب الماركات العالميه إم يعني أنا
adapt_sample_109_clean,ربنا يخليك ليا يا بوي
adapt_sample_110_clean,هيقولوا عليه عيان
adapt_sample_111_clean,أيوه ده إنت تمام يا عم الله يسهلك
adapt_sample_112_clean,بس مريحاه دي من كتر الراحه بتبيض بيض مغلي
adapt_sample_113_clean,بس هو كان سايق أقسم بالله سايق ده كان معايا مدير أعمالي أه و كان معايا اللي ماسكه كان سايق
adapt_sample_114_clean,تعالوا يا ولاد عمي
adapt_sample_115_clean,خلاص هكلمك عربي
adapt_sample_116_clean,تاني قعدت تاكل تاكل تاكل تاكل وفجأه يا مصطفى
adapt_sample_117_clean,من إمتى وانت بتاخد أبتريل
adapt_sample_118_clean,إن ربنا مديلك
adapt_sample_119_clean,تلاقيه يقولها الظروف اكده يقولها هديكي اختي دوس دوس دوس جاحد جاحد دوس في الخمسه مثلا عن بيتنا دوس الخمس بنات اخواته دوس الخمسه بيخدوه في الزرع كان ده كان طلع من السجن
adapt_sample_120_clean,نصره منصور
adapt_sample_121_clean,وهشام الجخ واحد من العوام من من من الناس اللي في الشارع توجع وأذى من من هذا الرئيس فخرج عليه يقول فيه شعرا كعادته
adapt_sample_122_clean,يعني لما إنت تموتني وأنا أموتك يفضل حريم في البيت
adapt_sample_123_clean,و لا دول بياخدوا إيه و لا بيعملوا إيه و لا عموما حب مفتاح الفرج
adapt_sample_124_clean,ما هو هو ولده اللي ضارب ووالد اخوه اللي ضارب
adapt_sample_125_clean,مع حضرتك الدكتوره نصره منصور الأولى على الدفعه
adapt_sample_126_clean,ألف مبارك
adapt_sample_127_clean,ده ابننا
adapt_sample_128_clean,و أنا كاتبلكم شوية أناشيد
adapt_sample_129_clean,بالعكس إنت عارف إن كان مطلع القصيده دي مانيش إخوان لكن مسلم و كل المسلمين إخوان و أنا شيلت المطلع ده و ليه مانيش إخوان ليه ليه ما إحنا كلنا إخوان
adapt_sample_130_clean,حاطه رجلي فوق رجلي إم على السرير طلع طلع
adapt_sample_131_clean,لا أنا عايز أنفعك عندك دي
adapt_sample_132_clean,وأنا تحت أمر الست أم كلثوم راح كلم عبد العظيم عبد الحق
adapt_sample_133_clean,إم واشمعنا الديك خميس
adapt_sample_134_clean,إحنا بنعمل اللي علينا وزي ما ولادك غاليين عليك أنا كمان بناتي غاليين عليا
adapt_sample_135_clean,بسم الله الرحمن الرحيم
adapt_sample_136_clean,أيوه أيوه أيوه
adapt_sample_137_clean,في ظروف الشاي وعندنا كده بيحصل إم إم يعني عندنا المهر أنا في القريه اللي أنا ساكن فيها يعني خمسه وتلاتين ألف جنيه
adapt_sample_138_clean,أه يعني يعني يا عم خلي المملكه مملكه و خلي الجمهوريه جمهوريه و احنا مش جايين لا نصدر ثوره و لا نصدر بتاع و لا عايزين ناخد من مملكة حد و لا إمارة حد بلجيكا مملكه و فرنسا جمهوريه و عاملين عمله واحده و عاملين عمله واحده و عاملين أسلوب واحده و عاملين
adapt_sample_139_clean,إم وليه إحنا بنتكلم عن ناسنا تعالى في الإخوان
adapt_sample_140_clean,أنا خميس العريس
adapt_sample_141_clean,ابنك يقولك ثورتك عارفه الطريق
adapt_sample_142_clean,ما يخلصشي
adapt_sample_143_clean,صعايده ماسكه فيا الصبح وهي جايبه طبق الفول لما أبصلها كده يوجع على الطبق
adapt_sample_144_clean,النوبي مين
adapt_sample_145_clean,هو ده الفروج
adapt_sample_146_clean,أكيد
adapt_sample_147_clean,ولا عاوزه الحكومه تنبسط منه
adapt_sample_148_clean,أنا حر يا عمي أبويا بس اللي ليه كلام عليا
adapt_sample_149_clean,لإمتى التار ده لإمتى يعني
adapt_sample_150_clean,وكنا نرسم العربي ممشوقا بهمته له صدر يصد الريح إذ تعوي مهابا في عباءته
adapt_sample_151_clean,اه عارفها دأ
adapt_sample_152_clean,بص هو إحنا هناخد براءه يعني في اخر كل الحدوته دي أنا واثق من القضاء المصري إن هو هو هيديك براءه أوكي لأن الجسيد واضحه أه إنها ما فيهاش أي دعوه للفتنه كويس بس هو لحمك ضايقك
adapt_sample_153_clean,ليه بتعاملي عيال عمك بالقسوه دي يا نصره دول مهما كان عيال عمك
adapt_sample_154_clean,المهم بصت فايقت كده وقالت أعزائي المشاهدين فاصل ونواصل وأغمى عليها تاني
adapt_sample_155_clean,جناح برشات حزانه
adapt_sample_156_clean,أه و بيجيلها عريس و اتنين و تلاته واخد بالك و يقولولها اتجوزت تقولك لا أنا خلاص خدت حظي من الدنيا أنا هقعد أربي أولادي
adapt_sample_157_clean,دي الأستاذه منى الشاذلي طبعا
adapt_sample_158_clean,خدت بالك إنت أمال إيه يعني كان واحد
adapt_sample_159_clean,وخيرنا يبقى جوانا مش جواك مش انت تاخدني في القرارات وانا اللي امسح بإيدي دراك متتلككش بالناس اللي بيعارضوك متتشتتش متتسوحش بلدنا عايزه يا ريس وحش يسمع نقده بودان وميتكبرش
adapt_sample_160_clean,الله يسلمك يا ولدي
adapt_sample_161_clean,العمليه نجحت
adapt_sample_162_clean,بلد محراب من البركه بعمر النيل بلد دفيانه بالقرأن وبالإمكان
adapt_sample_163_clean,تمام
adapt_sample_164_clean,أنا بتكلم على إن حكام الخليج بدل ما باصين للقضايا بتاعتنا رايحين يصيفوا في نيس ورايحين يصيفوا في واضحه واضحه واضحه أه قالك لأ
adapt_sample_165_clean,يلا
adapt_sample_166_clean,يومين
adapt_sample_167_clean,اللي هو الأسد ده الأسد ده إم ما يفحتش في الأرض بيعيش على الطبيعه لكن الديب بيفحت شق في الأرض بيفحت شق في الأرض
adapt_sample_168_clean,كله بيصفر بيصفر مش عارف ده ميزه ولا لا في الشتا بس دي ميزه والراجل اللي معايا سابني وطلع يجري عليا انا اضربه بالنار وطلع يجري على اخره على البلد خد خد خد ده ابدا ادي فين ده انا دفعت اضربه بالعصايه مقلش انا دفعت اضربه بالعصايه مقلش انا دفعت اضربه كده ورحت انا دفعت اضربه كده ورحت انا دفعت
adapt_sample_169_clean,عشان أبويا بيحبك معرفناش نكرهك
adapt_sample_170_clean,ماتش الأهلي والزمالك
adapt_sample_171_clean,سلوك غريب و سلوك أنا مش فاهمه جدا لكن مش زعلان منه أه و حاسس يعني عادي أنا كتبت ما يمليه عليا ضميري في وقت أنا شايف إن هو الوقت اللي المفروض أكتب فيه
adapt_sample_172_clean,إزاي مخلصشي يعني التار
adapt_sample_173_clean,اسمع بس مخلوقات الذاكره دي مخلوقات شفافه مش واقعيه مش
adapt_sample_174_clean,لأجل الحظ أروح أجيب الطياره ألقى الأربع فرد مريحات
adapt_sample_175_clean,دلوقت واقعين في عرضي ده إنتو عمركم ما عديتوا رجليكم تراب وقلتوا نسأل على بنات عمي
adapt_sample_176_clean,تمام وجاها يا بوي
adapt_sample_177_clean,رايقه وخير
adapt_sample_178_clean,أنا بخليها تدبحني غصب عنها
adapt_sample_179_clean,ليه يابا سلامتك أنت عيان
adapt_sample_180_clean,ستمية كوبايه بودن ستمية كوبايه من غير ودن
adapt_sample_181_clean,إم فلما يكون ده جوايا إم هذا الإحساس الطيب
adapt_sample_182_clean,خلاص بكره تجيبولي عقد فدانين أبوي
adapt_sample_183_clean,المهم على ما زودت العجل
adapt_sample_184_clean,العالم الإسلامي الشيخ عبد الباسط عبد الصمد الشيخ محمد صديق المنشاوي شيخ الأزهر الحالي
adapt_sample_185_clean,والبت برضو بتشيل اسمك وهتشوف يا ناصر
adapt_sample_186_clean,و أنا أنا واخد بعض أغنياتها
adapt_sample_187_clean,بس مطلعه أول أول الثانويه العامه على مستوى الجمهوريه أه صح دي من القريه اللي انا فيها
adapt_sample_188_clean,طب ليه استفزني
adapt_sample_189_clean,تعلمنا مناهجكم ألستم من تعلمنا على يدكم بأن الثعلب المكار منتظر سيأكل نعجة الحمقى إذا للنوم ما خلدوا
adapt_sample_190_clean,وألبس هدومي وأقفل الباب وإنتي نايمه من سكات وافضل أعلم كل شهرين جوه كشف التطعيمات
adapt_sample_191_clean,أنا طبعا عشت حياتي قبل نهال
adapt_sample_192_clean,قولتلها ياما ده خلاص هتتجوز ملناش دعوه خالص أنا بستبعد الفكره
adapt_sample_193_clean,معناه استغلال الدين لإثارة فتنه ولإيذاء فئه طب أنا بعمل فتنه برضو في إيزيس
adapt_sample_194_clean,وأبيضط يا دار بالرخم ولا امشي بالزيت
adapt_sample_195_clean,يبقى خدمتنا
adapt_sample_196_clean,سلام عليكم
adapt_sample_197_clean,فإنت إيه اللي مزعلك إن أنا شايف إن رئيس الجمهوريه وحش أه وحش
adapt_sample_198_clean,إيه اللي بتوزعه على صحابك ده
adapt_sample_199_clean,هي يعني واحده من مجموعه يعني بنات كانوا صحباتي
adapt_sample_200_clean,طيب نمره واحد كل الشعب المصري يناصر أهل سوريا أهل سوريا لمن لا يعرف للتاريخ يعني سنة سته و خمسين في العدوان الثلاثي على مصر ضربت قوات إسرائيل الإذاعه المصريه الإذاعه السوريه من دمشق في نفس التوقيت أه قالت هنا القاهره
adapt_sample_201_clean,إم ده أنا قبل ما اقابل محبوبي لا حسبت حياتي ولا سنين
adapt_sample_202_clean,على صلاح يعني خد نصيب شعر العاميه إم خد لنا حقنا يعني
adapt_sample_203_clean,زي ابن مالك إم
adapt_sample_204_clean,إم أنا أنا مش هاين عليا الشباب لأنه لم تتح له تجربه
adapt_sample_205_clean,يا نوبي
adapt_sample_206_clean,غم أنا مش ضامنهم يعني معرفش هما هما لوجه الله كده
adapt_sample_207_clean,قالت هات قالي يا راجل ده حاجه جميله أوي وروحنا نجار إم
adapt_sample_208_clean,ده للطبيب الشرعي مبيجمعش دليل ورايا
adapt_sample_209_clean,حتى بعد ما خدت منك الفدانين وباعوهم عيالي في العمليه
adapt_sample_210_clean,أهلا يا نصره يا بنتي طمنيني
adapt_sample_211_clean,و ماشي يا يونس يعني هبقى أوصيها تشفعلك إن شاء الله عشان هي ليها أربعين يعني
adapt_sample_212_clean,مرتي إيه يا خميس
adapt_sample_213_clean,خير يا ولاد عمي رجب ما خفتوش حد يشوفكم وانتو جايين بيت أبو البنات
adapt_sample_214_clean,يجيلك هي عرفتها إزاي
adapt_sample_215_clean,حمد الله على السلامه
adapt_sample_216_clean,بتاخد الفاسه والله العظيم بتاخد الفاسه وتطلع تطلع الغيط وتقلع وتزرع
adapt_sample_217_clean,إنت خاطرك ترفض
adapt_sample_218_clean,هو أنت خدت الدكتوراه ده كان بنتك
adapt_sample_219_clean,خايفين أه الضوي جه الضوي جه
adapt_sample_220_clean,معذور يا بنتي ما هو مخلفش بنات ولا يعرف حنيتهم
adapt_sample_221_clean,بشجع الزمالك
adapt_sample_222_clean,لإذاعة الكويت أه كان مين ماسك
adapt_sample_223_clean,آخر خمسه وعشرين سنه
adapt_sample_224_clean,الهجوم على على صفه مش على اسم
adapt_sample_225_clean,أه هتمرجح
adapt_sample_226_clean,العالم العربي اتقلب لغاية الليله دي
adapt_sample_227_clean,ده شغلك ده عملك يعني يعني و بعد كده ما إحنا متكلمناش بدري يا أستاذ وائل معلش إحنا متكلمناش بدري يعني مثلا لما كانوا بيقولوا إحنا هنقفل المحلات من الساعه عشره بالليل مثلا أه أنا أنا طلعت قولت شعر
adapt_sample_228_clean,طب ما انت كده يا حج هتفكرنا تفكرنا كل حاجه زي ما انا عايز
adapt_sample_229_clean,إزاي يعني يعني إزاي أنا أعمل يعني أخلاقيا متمشيش الحكاية أه
adapt_sample_230_clean,وأفضل أحوشلك جهازك وأشتريلك طقم صيني وأبقى حالق دقني دايما وإنتي بس اللي تبوسيني
adapt_sample_231_clean,ماينفعش يعني أنا آخد الفلوس أوفر فلوس إم أحطها في بنك أحطها في دفتر توفير إم وكل محتاج حاجه أجيبها
adapt_sample_232_clean,والرجل يعني لا يرحم إم رجال يعني حولها لا يروى ما تصنع
adapt_sample_233_clean,وهي تحلله من هنا وأنا أحلله من هنا وكده كده مش هياكله من الديك
adapt_sample_234_clean,اتفقنا
adapt_sample_235_clean,عملينه عشان تستحمى يعني التشت ده تتنقل تقعد تتنقل في التشت ده من التشت ده
adapt_sample_236_clean,أه
adapt_sample_237_clean,لا أهو لأ أنا خلاص
adapt_sample_238_clean,طبعا أول ماقالت مين طفى النور و بعد كده قلتلها يا أستاذه ما فيش النور شغال
adapt_sample_239_clean,محسوب عليه محسوب علينا ما ياريت محسوب عليه
adapt_sample_240_clean,أمال إيه
adapt_sample_241_clean,بعد كده <fil> هنروح فين يعني بس خلي بالك برضو ما هي الإحباطات كتير ما احنا في التمنطاشر يوم بتوعات حسني مبارك كان برضو في ناس كده يقعدوا معانا يقولولنا إحنا خلاص بقالهم أربع تيام في الميدان بقالهم أسبوع في الميدان بقالهم مش عارف
adapt_sample_242_clean,أصبر التقيل جاي ورا
adapt_sample_243_clean,أنا بقولك عوضين مين بتاع الكاوتش
adapt_sample_244_clean,إنتي عارفه عن القريه اللي أنا منها إم يعني القريه بتاعت مصطفى النوبي يعني قريتي لأن هي جنب قريتي قرية الزينه قابلي دي إم
adapt_sample_245_clean,متغنيه و بعدين يعني إم يعني من أجمل ما يكون أنا بقعد جنبها
adapt_sample_246_clean,صليت بينا على النبي
adapt_sample_247_clean,و أنت عندك إيه عشان جاي تطلب إيد بنتي
adapt_sample_248_clean,طب ومراتك عيالك يا خميس
adapt_sample_249_clean,هو الصعيد كله كل الصعيد تضرب يضربوا تسكت تتساوى نتصالحوا حد يناقش تاني يضربوا يضربوا
adapt_sample_250_clean,عديها
adapt_sample_251_clean,قبر يلمك ويلم أبوك روح هاته
adapt_sample_252_clean,أو يعني يعني إم يعني هنا الناس أنا تهاجمت الفتره اللي فاتت
adapt_sample_253_clean,تعالى أستاذ عبد الحميد الحديدي عايزك رئيس الإذاعه
adapt_sample_254_clean,في الآخر قالتلي طب إيه رأيك إنها بتحبك
adapt_sample_255_clean,إن برضو الفئه المثقفه و فئة الشباب دعو لهذا الحدث و الناس هتنزل تجول أه من اللي هما فيه صح إنت إنت تعرف إن الناس في الأقصر مش لاقيين يأكلوا الحصنه
adapt_sample_256_clean,البنت بتجيب خمس شنط أو الشنط يعني هدوم
adapt_sample_257_clean,القتلى بيموتوا بالآلاف
adapt_sample_258_clean,إحنا وننتظره
adapt_sample_259_clean,أه أبلغ كلام على الأرض القران الكريم ولله المثل الأعلى أه أنا أنا مسكت أنا مسكت الراجل المحامي الراجل أبو دقت قولتله يا أخي هو ربنا في سورة التوبة لما قال أعوذ بالله من الشيطان الرجيم نسوا الله فنسيهم
adapt_sample_260_clean,ولو ولو أي نظام بعده جه تعامل مع مع رغبات الشعب المصري بعنف ما يزعلش من اللي هيجراله ما يزعلش
adapt_sample_261_clean,يابا سيب عمي في الهم اللي هو فيه
adapt_sample_262_clean,واديني خميس
adapt_sample_263_clean,البلد اللي جنبكم دي
adapt_sample_264_clean,ده آخر كلام عندي عاجبك عاجبك مش عاجبك روح هات راجل يحط رجله في الأرض
adapt_sample_265_clean,مات أخويا اتضرب مع اللي قتلنا مكان أخويا سته
adapt_sample_266_clean,إم يجوني البيت ياخدوا كتاب يعملوا كده حاجه زي كده ودائما أنظر إليها لحم أخضر إم
adapt_sample_267_clean,إم وبعدين ضد مين بعد
adapt_sample_268_clean,نضرب أخويا ده
adapt_sample_269_clean,أنا ماليش صالح ترميهم تخليهم إنت ما تاخدش إنت وبناتك قد أنا وعيالي
adapt_sample_270_clean,خلصوا بدري عشان النهارده
adapt_sample_271_clean,تمام
adapt_sample_272_clean,بت منصور بتزرع كبد
adapt_sample_273_clean,طبعا شالت هاني ومرضتش تفهم اللي أنا بقوله
adapt_sample_274_clean,وكيف تقبلها على نفسك
adapt_sample_275_clean,ها القانون لازمته إيه في البلد
adapt_sample_276_clean,وأنت كمان يا عمي هتتعلم معاهم
adapt_sample_277_clean,مصر على على الحافه إم واخد بالك مش مطلوب أه يعني إذا كانوا بيطلبوا مني إن انا ابقى معاهم في إن ازق مصر على الذئاب والكلاب دي
adapt_sample_278_clean,وبكره هجيبلك المتين وخمسين ألف جنيه
adapt_sample_279_clean,في فلاشات كده تدور
adapt_sample_280_clean,أه
adapt_sample_281_clean,طب وأنا
adapt_sample_282_clean,ربنا يخليك ليهم يا ناصر مانت أبوهم برضو
adapt_sample_283_clean,دي الفروجه واكلاهم
adapt_sample_284_clean,أثبت الشعب المصري وخلينا صرحا أه أثبت الشعب المصري على مدى التلات سنين اللي فاتوا إنه خارج التوقعات تماما تماما و إن المحللين السياسيين بييجوا يقولوا هيحصل كذا ده في التلات سنين في فترة المجلس العسكري وفترة مش عارف إيه و هيحصل كذا و مش عارف إيه وبتاع
adapt_sample_285_clean,من العيله اللي ضربت
adapt_sample_286_clean,تمام
adapt_sample_287_clean,وأنت عرفت إزاي إنه برشام خطير
adapt_sample_288_clean,أنيما ما مكفانيش اللي وافقوا نعم طمعان فيك أنت
adapt_sample_289_clean,إم تاخد يعني أفكار كده
adapt_sample_290_clean,والحكومه والعائلات والبلاد ملمومه أكتر من اللي مساحه دي
adapt_sample_291_clean,قالتله ورتني الصور بتاع الالفاتحه بتاعتها فاتحه كام و لا خطوبه يعني فاتحه إم أه بس و الله بنت جميله
adapt_sample_292_clean,فأنا من حقي كواحد كأصغر أتفه واحد في الشعب المصري إن لما لما الريس بتاعي يتصرف بشكل ما يعجبنيش إني أصلا هقوله يا راجل ده ده لو إحنا بنتكلم على الديموقراطيه بقى والبتاع ده أيام أيام كلنتون والفضيحه بتاعته كانت ده عملهاله جنس
adapt_sample_293_clean,بتصطاد أحسن مني بتصطاد غم بس بتصطاد بالليل تبص على العجانه كده تلاقيها بالليل كده تلمع تجول على العجانه و تلاقيها على العجانه صحيح معايا كشف كده مخصوص و كده جايبينه من بره إحنا معندناش منه
adapt_sample_294_clean,لما تبقى قصيده واحده كفيله بإن هي تقلب اتجاه كامل ضدك
adapt_sample_295_clean,تمام
